,title,star_count,review_count,attributes,summary,address,hours,menu,phone,website,pictures,city,state
0,Nino's Del Sol LLC,4.5,512 Google reviews,"['$$', 'Restaurant']",,"326 Main St, Alamosa, CO 81101","{'Friday': '11AM–9PM', 'Saturday': '11AM–9PM', 'Sunday': 'Closed', 'Monday': '11AM–9PM', 'Tuesday': '11AM–9PM', 'Wednesday': '11AM–9PM', 'Thursday': '11AM–9PM'}",,(719) 587-0101,,"['https://lh5.googleusercontent.com/p/AF1QipOaSUqZGuY1L-fMmprXPaKsZB9gWLrjlFzVABA5=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOalOmb_ysSZ-pVYOcFHlGnlvhQXVQfWlcp7-qn=s1029-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMRh5pF1dUSPXT0kaT6bdgu6ujin07QfEYbj0WZ=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOU6mAV9lhOY2k4BmMacwU4ck9GVq-86nJgebjY=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMD-byBfNkWaTgENQD1p0HLgh-ZE9QTfPLsrZc8=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM1_yI-EwWGkbXO4wpwZSfKnErYUthIfpQvAI0v=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNsKzO9SHebLKY5z09pcWmNnMJ8UZ0FNWnJ1LSM=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMdZ9sPP9CZYgrG5gg4byItmuaD81aymsUPCDoq=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPB4_D5Jea6MS6rv2gaii4KshfOlWamd_NsgfYE=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMyeWqlQpPgMr-qGSvag7VU02bnuUlr9ZdSyFdV=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPRMFq42T4iK2ZvJLp_RVju1QbJ_14SUCUDAlPF=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPwGF6oCNGSnpCy0RFpd6X_B6ghqM-mpVYe-3vv=s1354-k-no']",Alamosa,Colorado
1,Juanitos Mexican Kitchen,4.4,199 Google reviews,"['$', 'Restaurant']",,"1019 6th St, Alamosa, CO 81101","{'Friday': '11AM–9PM', 'Saturday': '11AM–9PM', 'Sunday': 'Closed', 'Monday': '11AM–9PM', 'Tuesday': '11AM–9PM', 'Wednesday': '11AM–9PM', 'Thursday': '11AM–9PM'}",,(719) 589-0277,http://juanitosmexicankitchen.com/,"['https://lh5.googleusercontent.com/p/AF1QipN3i_OTx5C8WgvX8qOLTtQhJ1MeJNLEF5GRBiOE=s1032-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP_JHIFEAC6lfCBaG6XA3VpKqHWrklY7pnCVKgS=s500-k-no']",Alamosa,Colorado
2,Calvillo's Mexican Restaurant,4.4,"1,331 Google reviews","['$$', 'Mexican restaurant']","Lively Mexican bar/eatery offering menu options along with an all-day buffet in relaxed, roomy digs.","400 Main St, Alamosa, CO 81101",{},,(719) 587-5500,,"['https://lh5.googleusercontent.com/p/AF1QipOzQe5Kdfdsp4zK6tL8qdxBadklAB-IjfDCkS90=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN0WyPcEqqiWoitYNyATKZk-FQHRHQ5r_CAesOF=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMo4gkFi48RnJ5US9Job1W7GryUszspuPG2zGIW=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNYn5hwR15NPsArRwsEwZ0SUFwcMlEKvcTaYZfO=s812-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMT94mBBjiv1duFg_t0N6OYwaHCC0uqVCz4HnFV=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMBlVK3alfzd9Xn4vdFvFLBO7Hn-3awHbf7blt9=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOHY6lQhdAjI2yz-B4QDY89bwXVh-gbCoeK7XPq=s550-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNEh99kRpla1reECMqeebmhBDq8oWM_esxgQRwt=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPaB6s3IRoOUpsq-2HYNSKFEmaC9RyFibg-s2I2=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOKyb4X9z-avBKxUjJnJAlMcOGtM2g8SA8vT73K=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPmTcY6j0FtQHB-fEdyfOlEXWAMKgbJ_i4jKNoK=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMpOcgitS1f-gE2LizjQHbEbKolvL7lFtugoQ5G=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNjKZPWbImADH2c-snJB9U3XX37i5Zxy8u63q_3=s966-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMs9S7HeTmt5pDDRCz1C3sxG4gHglkcNVerioH3=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMewcYdWRq_k2djhiE_DW7wbkvHrHTd1hzVQg-G=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMKDQdfEBkYsm-iINkVR40jM2mbnIxvSDjdvO_t=s773-k-no']",Alamosa,Colorado
3,The Essential Garden Cafe,4.0,15 Google reviews,['Restaurant'],,"507 State Ave, Alamosa, CO 81101","{'Friday': '7:30AM–3PM', 'Saturday': '7:30AM–3PM', 'Sunday': 'Closed', 'Monday': 'Closed', 'Tuesday': '7:30AM–3PM', 'Wednesday': '7:30AM–3PM', 'Thursday': '7:30AM–3PM'}",,(719) 937-2828,,"['https://lh5.googleusercontent.com/p/AF1QipMWRReZ7ifYiKUJ3NHvgj-HTTDARyGpNhgTnOAy=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMOqzSPhRbcqJ8FsmZusnZUmKplUUD4mWyz-z97=s1118-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMNWhAFjkGRqO9Nvw5ldhr736P0L8a4Jt6gBKhp=s747-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO9WAhnOy6GlFcNbIjEfFTdQC2xi0V8nilzFAVt=s696-k-no']",Alamosa,Colorado
4,The Rubi Slipper,4.6,670 Google reviews,"['$$', 'American restaurant']",,"506 State Ave, Alamosa, CO 81101","{'Friday': '11AM–8:30PM', 'Saturday': '11AM–8:30PM', 'Sunday': 'Closed', 'Monday': 'Closed', 'Tuesday': '11AM–8:30PM', 'Wednesday': '11AM–8:30PM', 'Thursday': '11AM–8:30PM'}",,(719) 589-2641,,"['https://lh5.googleusercontent.com/p/AF1QipOMEJDhbAE-BX8M4dF3pF5G2bNuTd0UmEJVZXCJ=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMtPR74Qf1uPbHXXzbqaN9B1TSdl8Is5nvrAgpL=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN96zlM3p8C8I9XZJ5D_fgo_0hZtuP6KPJz9_UX=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN33kx2V-6oNMKKwN1yHygAyG2K2VzbuCVqelUg=s901-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPdWckiC61GkSOb8yJPR2zF_zUP2Wr-fJxVGKI0=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPXTr3VtvUuFE6-uEwJ2mfgNjheWza_NLdvfYhq=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP0SQYe7tTPE73Gi56WCiBFyJoaznK8vJE5sLmk=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMzg-tXc9LdshyA9aCfhgj38yq5CiZID1ORy11h=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNXI8TUw3mqD2dRpANrw3x_Azx0zkOvJ7vFSfit=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO-yiz_NR7P9RXLK8d-hEGmCd6DSWdBFLBgvQm2=s1033-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM0fD0OtxQ4b4xal-CqV-z193Uuq_DoLEmc0osR=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPk4g5GrFP2QJ13zmWfMfsCJecTp7WvsDuqimhl=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMOUt1Oczp04JesnFwf6U8aEOlhUcRFx1jd9AgF=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPobv5g3iqsSI_ktKe-wKo4oogQkH7vg1yMS4ly=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM07c0u6aTSkaY2cDwb_9lJoQV5zZ0-t8rW6ybi=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMmutbR02JMudqfbhzYkj6jqygo31Sb1g0SGtMW=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOUV-iw8Zbt1UblzzxkM0-Fk4W5WQGLHtd_TGrN=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPvZdDM_SAQosuSUlm686iXABkHbI30g-hNvx-B=s1193-k-no']",Alamosa,Colorado
5,The Rubi Slipper,,,,,"506 State Ave, Alamosa, CO 81101","{'Friday': '11AM–8:30PM', 'Saturday': '11AM–8:30PM', 'Sunday': 'Closed', 'Monday': 'Closed', 'Tuesday': '11AM–8:30PM', 'Wednesday': '11AM–8:30PM', 'Thursday': '11AM–8:30PM'}",,(719) 589-2641,,"['https://lh5.googleusercontent.com/p/AF1QipOMEJDhbAE-BX8M4dF3pF5G2bNuTd0UmEJVZXCJ=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMtPR74Qf1uPbHXXzbqaN9B1TSdl8Is5nvrAgpL=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN96zlM3p8C8I9XZJ5D_fgo_0hZtuP6KPJz9_UX=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN33kx2V-6oNMKKwN1yHygAyG2K2VzbuCVqelUg=s901-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPdWckiC61GkSOb8yJPR2zF_zUP2Wr-fJxVGKI0=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPXTr3VtvUuFE6-uEwJ2mfgNjheWza_NLdvfYhq=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP0SQYe7tTPE73Gi56WCiBFyJoaznK8vJE5sLmk=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMzg-tXc9LdshyA9aCfhgj38yq5CiZID1ORy11h=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNXI8TUw3mqD2dRpANrw3x_Azx0zkOvJ7vFSfit=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO-yiz_NR7P9RXLK8d-hEGmCd6DSWdBFLBgvQm2=s1033-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM0fD0OtxQ4b4xal-CqV-z193Uuq_DoLEmc0osR=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPk4g5GrFP2QJ13zmWfMfsCJecTp7WvsDuqimhl=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMOUt1Oczp04JesnFwf6U8aEOlhUcRFx1jd9AgF=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPobv5g3iqsSI_ktKe-wKo4oogQkH7vg1yMS4ly=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM07c0u6aTSkaY2cDwb_9lJoQV5zZ0-t8rW6ybi=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMmutbR02JMudqfbhzYkj6jqygo31Sb1g0SGtMW=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOUV-iw8Zbt1UblzzxkM0-Fk4W5WQGLHtd_TGrN=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPvZdDM_SAQosuSUlm686iXABkHbI30g-hNvx-B=s1193-k-no']",Alamosa,Colorado
6,Emma's Authentic Food Of The Southwest,4.6,110 Google reviews,['Restaurant'],,"924 Main St, Alamosa, CO 81101","{'Friday': '11AM–8PM', 'Saturday': '11AM–8PM', 'Sunday': 'Closed', 'Monday': '11AM–8PM', 'Tuesday': '11AM–8PM', 'Wednesday': '11AM–8PM', 'Thursday': '11AM–8PM'}",,(719) 992-2021,,"['https://lh5.googleusercontent.com/p/AF1QipNcTwj5WrdTxuyWU8yv5BN3jplLYbxqm6TbndP_=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNOIpRoSFXOwkhq8O6oGcp-fDUhmRMH4jWdpDXs=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNFA_ve5iQfNUrcfdslylBtKM8iZwIlYl5mY8vS=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPXVPeiftx_EIkdjfofdaz6oYjxyD6NisnlLlqv=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNFhZOMnztbT_BzpByBPhJanFgnuizpfvp6AHfW=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNg6Bs5C0l56M_Sxp8qvqaWjT-FBU6z6dfXTq56=s1354-k-no']",Alamosa,Colorado
7,St Ives A Pub & Eatery,3.7,174 Google reviews,"['$$', 'Restaurant']",,"719 Main St, Alamosa, CO 81101","{'Friday': '11AM–11PM', 'Saturday': '11AM–11PM', 'Sunday': '11AM–11PM', 'Monday': '11AM–10PM', 'Tuesday': '11AM–10PM', 'Wednesday': '11AM–11PM', 'Thursday': '11AM–11PM'}",,(719) 589-0711,,"['https://lh5.googleusercontent.com/p/AF1QipMl_HZh6mnh5LNCvsBMxnLI9wRShNq3cNMQlIDV=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOaxmTGQk7ihCptYub4dW9unUWw_qse3UYifOou=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO4K3otH-6iPULuHd4UjLyqeBzND_xTwMFN4yOx=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPVP5rCJMX_Hos1ALv6ZecoINrjYX-P34GNAph0=s1031-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNloKOXDUOrC1YCkdgGKIuWUmugQvkh0zP61mbE=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO0aRIu7nTDpihZcN6Kp61jR3q0ZnHlQaaneaxw=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPH1HkXMuMNbV7M-Mbuy1BrHfpMLv3n6XHHRri2=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNKECS-JyunC1Fh5eRbnPggwOF1Zns5EI268cTZ=s1354-k-no']",Alamosa,Colorado
8,Thai Hut,4.4,311 Google reviews,"['$$', 'Asian restaurant']",Easygoing establishment providing traditional Thai specialties as well as elaborate sushi rolls.,"525 Main St, Alamosa, CO 81101","{'Friday': '11AM–9:30PM', 'Saturday': '11AM–9:30PM', 'Sunday': '11AM–9:30PM', 'Monday': '11AM–9:30PM', 'Tuesday': '11AM–9:30PM', 'Wednesday': '11AM–9:30PM', 'Thursday': '11AM–9:30PM'}",,(719) 992-2400,,"['https://lh5.googleusercontent.com/p/AF1QipPfpgcT-d251fJJn6O9PwtZPpf5zN1TqJwRtFq4=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNWcesP6CqlmW_L9e6XeUyCwe_zEky-KGhgpAkC=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNAUtbU3TI0J5WNsIoxYuB60jRtafsjOcUFv-NY=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOFxy_WYYv6YXgSNUltwsY2KS5y5K2Rkw3b1S_Y=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM2M1yeF7Bg3TbmQYdwIMJ5Wu1eMypbdgHw9Ybm=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNaxPD7P-RbuqLgQIYgqNvIUEFzaf3m8cJJsl4z=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP3tdn_gfshNE_TBeFhA1TWxKAGHLCsGZcjm9VB=s901-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPmjreBzBQZnePNdN_RBxO1V9cgagNGl6kwJJbW=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNBkiFKU5rd5FJ8hOBGEe2LxAEtuORDqHUscL8P=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP9UvEBF4pYH1_CSCPeVuYLprFsw96EfixOkxvE=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMFf6qSoKbFX8eAziOW4v0vLNKRtoA31cXhcpw7=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOcoUiMSOvmQyYs3A_-gHaOCgwWgTj2DgCq3Ubb=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPBEN78OszmoJA1SRL6hJsf1u0B2r4U65CjuZ9e=s773-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOmofJZcToUSvv3tvsZW1Lhj4FVjBsIZN8rZjqQ=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOcddcN_hvlIP92b7d6iRPhKhASH1zwbLCGFqiQ=s1031-k-no']",Alamosa,Colorado
9,May-Wa Chinese & Vietnamese Restaurant,4.4,332 Google reviews,"['$', 'Chinese restaurant']","Noodles, fried rice & other Chinese standards whipped up in homey, compact quarters.","620 Main St, Alamosa, CO 81101","{'Friday': '11AM–9PM', 'Saturday': '11AM–9PM', 'Sunday': 'Closed', 'Monday': '11AM–9PM', 'Tuesday': '11AM–9PM', 'Wednesday': '11AM–9PM', 'Thursday': '11AM–9PM'}",,(719) 589-9559,,"['https://lh5.googleusercontent.com/p/AF1QipN_6R6DaKSaTXFfuEQUG_6zQViGDuvtmLCk5jUq=s812-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNqpyYQ3oKCY8--hDIaTO3hJ60fPgqrNtq2IS8v=s768-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPZfszSJ_Rj3kHpAnn8rZWTQDXk1aY7KTSOX1UO=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOH8WR0siJwToRdxSRJOjubH1iw_8Jlqg44J6Yq=s1354-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPYyyAdyMaVYx9KXIjSSeydFqJYWTUfWfZNPik9=s1016-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNIAOYAe9JCB9jM2X6p0sn3kpHMh17RJo6wVk_T=s1031-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN_zuKdSGetMTWahw1cb5z22yFu0QVDemM9bhbf=s1016-k-no']",Alamosa,Colorado
